Index,Function,Standard,Swift,Recon_L,Recon_M
0,getAutocorrelationFeatureValue,[9.98154533],[19.09185946],[1.11292565],[1.08287151]
0,getClusterProminenceFeatureValue,[9.01224058],[19.7245585],[1.1145751],[0.93854381]
0,getClusterShadeFeatureValue,[0.12004321],[0.56593015],[0.37944434],[0.30678974]
0,getClusterTendencyFeatureValue,[1.29505109],[2.02610535],[0.15842958],[0.12062479]
0,getContrastFeatureValue,[0.21718952],[0.34935549],[0.02302654],[0.01250293]
0,getCorrelationFeatureValue,[0.71267201],[0.70577348],[0.74535833],[0.81116195]
0,getDifferenceAverageFeatureValue,[0.2091002],[0.32991505],[0.02272997],[0.0122456]
0,getDifferenceEntropyFeatureValue,[0.75456854],[0.95843167],[0.15679049],[0.09539297]
0,getDifferenceVarianceFeatureValue,[0.17255771],[0.23851501],[0.0225049],[0.01235111]
0,getIdFeatureValue,[0.89668879],[0.83812295],[0.98868403],[0.99391967]
0,getIdmFeatureValue,[0.89624254],[0.83697853],[0.98866467],[0.99390293]
0,getIdmnFeatureValue,[0.9982243],[0.99714563],[0.99865084],[0.99926918]
0,getIdnFeatureValue,[0.98262543],[0.97262986],[0.99546384],[0.99755941]
0,getImc1FeatureValue,[-0.36871057],[-0.30168028],[-0.50295308],[-0.61396178]
0,getImc2FeatureValue,[0.7857657],[0.78895615],[0.45976342],[0.44469001]
0,getInverseVarianceFeatureValue,[0.20294138],[0.31435592],[0.02247441],[0.01202439]
0,getJointAverageFeatureValue,[3.11642086],[4.32118847],[1.03878495],[1.02754094]
0,getJointEnergyFeatureValue,[0.36639043],[0.21328696],[0.91397384],[0.94293786]
0,getJointEntropyFeatureValue,[2.15843496],[2.80124068],[0.35394316],[0.24881417]
0,getMCCFeatureValue,[0.74423168],[0.73229358],[0.74665674],[0.81721502]
0,getMaximumProbabilityFeatureValue,[0.57530641],[0.36331152],[0.9557097],[0.97089807]
0,getSumAverageFeatureValue,[6.23284171],[8.64237694],[2.07756989],[2.05508189]
0,getSumEntropyFeatureValue,[1.92434091],[2.4180214],[0.33025548],[0.23573086]
0,getSumSquaresFeatureValue,[0.37806015],[0.59386521],[0.04536403],[0.03328193]
1,getAutocorrelationFeatureValue,[14.38437627],[11.79958095],[10.67341563],[1.03355852]
1,getClusterProminenceFeatureValue,[28.3204036],[15.15860626],[18.00589526],[0.18680616]
1,getClusterShadeFeatureValue,[0.16258043],[1.0497699],[1.19378738],[0.08456967]
1,getClusterTendencyFeatureValue,[2.04001718],[1.41526183],[1.48022028],[0.04322782]
1,getContrastFeatureValue,[0.28696268],[0.27568026],[0.234883],[0.00798325]
1,getCorrelationFeatureValue,[0.75326985],[0.67386838],[0.7260348],[0.68633242]
1,getDifferenceAverageFeatureValue,[0.26671653],[0.26783794],[0.22612658],[0.00795976]
1,getDifferenceEntropyFeatureValue,[0.87281438],[0.85489166],[0.78812875],[0.06689647]
