Index,Function,Standard,Swift,Recon_L,Recon_M
0,get10PercentileFeatureValue,[0.],[72.],[10.],[68.]
0,get90PercentileFeatureValue,[4.],[116.],[20.],[113.]
0,getEnergyFeatureValue,[3343225.],[1.01084047e+09],[43359183.],[9.76466624e+08]
0,getEntropyFeatureValue,[0.0890127],[1.66370513],[0.26565151],[1.70456791]
0,getInterquartileRangeFeatureValue,[0.],[22.],[5.],[20.]
0,getKurtosisFeatureValue,[41.58710978],[5.02636132],[15.010902],[5.56356875]
0,getMaximumFeatureValue,[82.],[255.],[97.],[255.]
0,getMeanAbsoluteDeviationFeatureValue,[2.19823584],[13.62870532],[3.9887601],[13.88552609]
0,getMeanFeatureValue,[1.41145216],[94.81244816],[15.41999448],[92.03041956]
0,getMedianFeatureValue,[0.],[95.],[16.],[93.]
0,getMinimumFeatureValue,[0.],[22.],[0.],[11.]
0,getRangeFeatureValue,[82.],[233.],[97.],[244.]
0,getRobustMeanAbsoluteDeviationFeatureValue,[0.58309117],[9.14320941],[1.92298348],[8.69669036]
0,getRootMeanSquaredFeatureValue,[4.70330509],[96.5158019],[16.8866879],[93.99533475]
0,getSkewnessFeatureValue,[5.49361978],[0.17369837],[1.53205276],[-0.14030434]
0,getStandardDeviationFeatureValue,[4.48652221],[18.05269204],[6.8836036],[19.11870367]
0,getTotalEnergyFeatureValue,[3343225.],[1.01084047e+09],[43359183.],[9.76466624e+08]
0,getUniformityFeatureValue,[0.97856238],[0.37763346],[0.92299061],[0.38192913]
0,getVarianceFeatureValue,[20.12888157],[325.89968986],[47.38399845],[365.52482994]
1,get10PercentileFeatureValue,[57.],[11.],[50.],[5.]
1,get90PercentileFeatureValue,[98.],[28.],[83.],[10.]
1,getEnergyFeatureValue,[7.46009774e+08],[68477534.],[5.30162388e+08],[12650357.]
1,getEntropyFeatureValue,[1.5879138],[0.7821004],[1.40684106],[0.11927976]
1,getInterquartileRangeFeatureValue,[17.],[8.],[16.],[2.]
1,getKurtosisFeatureValue,[7.20403755],[4.86066287],[9.50986676],[25.41174992]
1,getMaximumFeatureValue,[255.],[66.],[255.],[66.]
1,getMeanAbsoluteDeviationFeatureValue,[12.77438421],[5.71869961],[10.5818268],[2.1454204]
1,getMeanFeatureValue,[79.69086827],[19.562791],[67.65366056],[8.0045891]
1,getMedianFeatureValue,[81.],[20.],[68.],[8.]
1,getMinimumFeatureValue,[4.],[0.],[11.],[0.]
1,getRangeFeatureValue,[251.],[66.],[244.],[66.]
1,getRobustMeanAbsoluteDeviationFeatureValue,[7.85891911],[3.46908131],[6.75497919],[0.89588576]
1,getRootMeanSquaredFeatureValue,[81.68779699],[21.14641859],[69.21454217],[9.15268545]
1,getSkewnessFeatureValue,[0.16392522],[-0.34262967],[0.49783207],[3.27716099]
1,getStandardDeviationFeatureValue,[17.95164873],[8.02921087],[14.61626011],[4.4382659]
1,getTotalEnergyFeatureValue,[7.46009774e+08],[68477534.],[5.30162388e+08],[12650357.]
1,getUniformityFeatureValue,[0.42953284],[0.65267745],[0.45900102],[0.96926781]
1,getVarianceFeatureValue,[322.26169224],[64.46822727],[213.63505957],[19.69820422]
2,get10PercentileFeatureValue,[0.],[127.],[124.7],[119.1]
2,get90PercentileFeatureValue,[4.],[212.],[212.],[215.]
2,getEnergyFeatureValue,[2878054.],[8709893.],[8841708.],[9032002.]
2,getEntropyFeatureValue,[0.06999701],[2.14812739],[2.13403084],[2.13943752]
2,getInterquartileRangeFeatureValue,[1.],[36.],[37.],[41.75]
2,getKurtosisFeatureValue,[37.53293878],[3.6598717],[3.65580948],[3.31982346]
2,getMaximumFeatureValue,[53.],[227.],[226.],[226.]
2,getMeanAbsoluteDeviationFeatureValue,[2.06616851],[26.25382851],[26.78384712],[28.7359711]
2,getMeanFeatureValue,[1.37053542],[182.14566929],[181.97674419],[182.19083969]
2,getMedianFeatureValue,[0.],[195.],[195.],[196.]
2,getMinimumFeatureValue,[0.],[85.],[84.],[83.]
2,getRangeFeatureValue,[53.],[142.],[142.],[143.]
2,getRobustMeanAbsoluteDeviationFeatureValue,[0.64817128],[17.30829327],[17.27988985],[19.09916669]
2,getRootMeanSquaredFeatureValue,[4.37519841],[185.17806923],[185.12208417],[185.66984159]
2,getSkewnessFeatureValue,[5.27340396],[-1.27635324],[-1.27953147],[-1.1829652]
2,getStandardDeviationFeatureValue,[4.15499625],[33.37472818],[33.98015041],[35.77412483]
2,getTotalEnergyFeatureValue,[2878054.],[8709893.],[8841708.],[9032002.]
2,getUniformityFeatureValue,[0.98363882],[0.28309257],[0.28501893],[0.28958103]
2,getVarianceFeatureValue,[17.26399383],[1113.87248124],[1154.65062196],[1279.78800769]
3,get10PercentileFeatureValue,[0.],[9.],[5.],[3.]
3,get90PercentileFeatureValue,[3.],[22.],[10.],[8.]
3,getEnergyFeatureValue,[2223914.],[42152137.],[11548642.],[7393984.]
3,getEntropyFeatureValue,[0.04742868],[0.25773812],[0.09021341],[0.0729477]
3,getInterquartileRangeFeatureValue,[1.],[6.],[2.],[1.]
3,getKurtosisFeatureValue,[42.12107631],[5.61885603],[19.84882688],[28.9087447]
3,getMaximumFeatureValue,[91.],[65.],[67.],[67.]
3,getMeanAbsoluteDeviationFeatureValue,[1.84324929],[4.54861905],[2.17067136],[1.6636655]
3,getMeanFeatureValue,[1.23005692],[15.43055435],[7.8204684],[5.99983852]
3,getMedianFeatureValue,[0.],[16.],[8.],[6.]
3,getMinimumFeatureValue,[0.],[0.],[0.],[0.]
3,getRangeFeatureValue,[91.],[65.],[67.],[67.]
3,getRobustMeanAbsoluteDeviationFeatureValue,[0.52090157],[2.660699],[0.95517122],[0.69204552]
3,getRootMeanSquaredFeatureValue,[3.86581865],[16.74367791],[8.80585335],[7.05329191]
3,getSkewnessFeatureValue,[5.27680105],[-0.21241022],[2.45156147],[3.74934223]
3,getStandardDeviationFeatureValue,[3.66490297],[6.49990325],[4.04763229],[3.70821582]
3,getTotalEnergyFeatureValue,[2223914.],[42152137.],[11548642.],[7393984.]
3,getUniformityFeatureValue,[0.98965109],[0.91854565],[0.97762597],[0.98278925]
3,getVarianceFeatureValue,[13.43151381],[42.2487422],[16.38332718],[13.75086456]
4,get10PercentileFeatureValue,[35.],[115.],[4.],[37.]
4,get90PercentileFeatureValue,[65.],[219.5],[8.],[66.]
4,getEnergyFeatureValue,[3.30786627e+08],[14514212.],[8026761.],[3.40142544e+08]
4,getEntropyFeatureValue,[1.34596415],[2.66357022],[0.06663684],[1.26641946]
4,getInterquartileRangeFeatureValue,[14.],[50.],[1.],[13.]
4,getKurtosisFeatureValue,[30.26572921],[2.69573032],[23.93449607],[31.94313625]
4,getMaximumFeatureValue,[255.],[255.],[56.],[255.]
4,getMeanAbsoluteDeviationFeatureValue,[9.80171392],[31.63328369],[1.90595907],[9.41298579]
4,getMeanFeatureValue,[51.62263936],[158.16849817],[6.35689966],[52.69702547]
4,getMedianFeatureValue,[52.],[151.],[6.],[53.]
4,getMinimumFeatureValue,[1.],[60.],[0.],[7.]
4,getRangeFeatureValue,[254.],[195.],[56.],[248.]
4,getRobustMeanAbsoluteDeviationFeatureValue,[5.99494247],[22.17866242],[0.74988503],[6.0085658]
4,getRootMeanSquaredFeatureValue,[53.81565089],[163.04234377],[7.34915457],[54.5988945]
4,getSkewnessFeatureValue,[2.89799885],[0.38740719],[3.1268156],[2.85616979]
4,getStandardDeviationFeatureValue,[15.20616277],[39.56680487],[3.68780418],[14.28505469]
4,getTotalEnergyFeatureValue,[3.30786627e+08],[14514212.],[8026761.],[3.40142544e+08]
4,getUniformityFeatureValue,[0.45723574],[0.18807444],[0.98452274],[0.48549886]
4,getVarianceFeatureValue,[231.22738628],[1565.53204793],[13.59989964],[204.06278742]
5,get10PercentileFeatureValue,[0.],[7.],[41.],[102.]
5,get90PercentileFeatureValue,[3.],[18.],[75.],[198.]
5,getEnergyFeatureValue,[2323517.],[28772353.],[4.20527509e+08],[6830700.]
5,getEntropyFeatureValue,[0.0489408],[0.16632239],[1.34599075],[2.58233663]
5,getInterquartileRangeFeatureValue,[1.],[4.],[17.],[62.25]
5,getKurtosisFeatureValue,[37.46766374],[6.60021885],[12.15187302],[2.39330304]
5,getMaximumFeatureValue,[65.],[54.],[255.],[255.]
5,getMeanAbsoluteDeviationFeatureValue,[1.88344145],[3.72051541],[10.90676111],[31.46155926]
5,getMeanFeatureValue,[1.32241947],[12.76258018],[58.6818789],[153.78676471]
5,getMedianFeatureValue,[0.],[13.],[59.],[157.]
5,getMinimumFeatureValue,[0.],[0.],[7.],[77.]
5,getRangeFeatureValue,[65.],[54.],[248.],[178.]
5,getRobustMeanAbsoluteDeviationFeatureValue,[0.60060241],[2.04848723],[7.21013465],[23.76989637]
5,getRootMeanSquaredFeatureValue,[3.97158794],[13.93036548],[60.5937869],[158.47039991]
5,getSkewnessFeatureValue,[5.18435998],[0.10458143],[1.19555555],[0.0175991]
5,getStandardDeviationFeatureValue,[3.74495894],[5.58315588],[15.10112908],[38.24262868]
5,getTotalEnergyFeatureValue,[2323517.],[28772353.],[4.20527509e+08],[6830700.]
5,getUniformityFeatureValue,[0.98927696],[0.95234558],[0.49697801],[0.1875]
5,getVarianceFeatureValue,[14.02471749],[31.17162959],[228.04409953],[1462.49864836]
6,get10PercentileFeatureValue,[145.],[149.],[32.],[91.9]
6,get90PercentileFeatureValue,[229.],[238.3],[59.],[238.]
6,getEnergyFeatureValue,[10255008.],[10145739.],[2.65825586e+08],[10578606.]
6,getEntropyFeatureValue,[2.44067802],[2.48327981],[1.21162798],[2.84116625]
6,getInterquartileRangeFeatureValue,[49.],[49.25],[14.],[59.25]
6,getKurtosisFeatureValue,[3.34473994],[2.5145439],[48.84579954],[2.8557462]
6,getMaximumFeatureValue,[255.],[255.],[255.],[255.]
6,getMeanAbsoluteDeviationFeatureValue,[28.5997211],[27.06778439],[8.72709706],[38.6292]
6,getMeanFeatureValue,[189.03249097],[195.52325581],[46.32872278],[181.39333333]
6,getMedianFeatureValue,[194.],[197.5],[46.],[191.]
6,getMinimumFeatureValue,[81.],[96.],[5.],[66.]
6,getRangeFeatureValue,[174.],[159.],[250.],[189.]
6,getRobustMeanAbsoluteDeviationFeatureValue,[20.29805325],[19.86501435],[5.73307757],[26.61274535]
6,getRootMeanSquaredFeatureValue,[192.41021161],[198.30423537],[48.22470453],[187.78184151]
6,getSkewnessFeatureValue,[-0.8459269],[-0.32373836],[3.8894242],[-0.77965162]
6,getStandardDeviationFeatureValue,[35.89438517],[33.09420196],[13.38923346],[48.56417015]
6,getTotalEnergyFeatureValue,[10255008.],[10145739.],[2.65825586e+08],[10578606.]
6,getUniformityFeatureValue,[0.21388263],[0.20179076],[0.49569589],[0.16133333]
6,getVarianceFeatureValue,[1288.40688657],[1095.22620335],[179.27157266],[2358.47862222]
7,get10PercentileFeatureValue,[151.],[118.],[100.],[2.]
7,get90PercentileFeatureValue,[244.],[220.3],[214.9],[5.]
7,getEnergyFeatureValue,[19031540.],[27182788.],[29635263.],[3385750.]
7,getEntropyFeatureValue,[2.24569175],[2.66560163],[2.7473008],[0.0298691]
7,getInterquartileRangeFeatureValue,[43.5],[62.],[63.],[0.]
7,getKurtosisFeatureValue,[5.77404535],[2.1731707],[2.35260128],[22.18195357]
7,getMaximumFeatureValue,[255.],[255.],[255.],[43.]
7,getMeanAbsoluteDeviationFeatureValue,[32.96347139],[33.43512714],[34.26612424],[1.68560964]
7,getMeanFeatureValue,[208.49164678],[165.62260128],[153.48549488],[3.5518612]
7,getMedianFeatureValue,[226.],[163.],[149.],[3.]
7,getMinimumFeatureValue,[40.],[58.],[46.],[0.]
7,getRangeFeatureValue,[215.],[197.],[209.],[43.]
