Function,Std dev Standard,Std dev Swift,Std dev Recon_L,Std dev Recon_M
get10PercentileFeatureValue,70.10278168517995,59.54232854775575,54.26550469681453,61.04904767662
get90PercentileFeatureValue,111.33512972602632,96.11168792376688,95.54745708576213,101.33662275362798
getEnergyFeatureValue,242679645.25293815,309890325.7500483,193575723.33961266,309388963.782372
getEntropyFeatureValue,1.080762221074088,0.9923672431511749,1.0170820758597716,1.0953802355122206
getInterquartileRangeFeatureValue,21.515433736945415,21.333479817205422,21.495477560537136,23.98293664253817
getKurtosisFeatureValue,17.49666904271906,1.4734631004226062,14.105512131759523,12.36188936362459
getMaximumFeatureValue,94.62493211504977,91.91759594574067,86.79631328576116,93.48654092078353
getMeanAbsoluteDeviationFeatureValue,13.867429944381911,11.841070288553201,12.915785202650222,13.714514640086877
getMeanFeatureValue,95.28553493981521,79.03448455730717,78.07080763365965,83.89392048168156
getMedianFeatureValue,102.11045218019773,81.25681168027974,82.28061740167,87.99646457544631
getMinimumFeatureValue,31.730812224783097,36.335626838927354,28.024592374872785,42.62967146118873
getRangeFeatureValue,78.75482348543626,67.49658427571642,78.29829003383294,75.9169136476041
getRobustMeanAbsoluteDeviationFeatureValue,9.389259260640907,8.903505580348675,9.00494872147355,9.934560357822377
getRootMeanSquaredFeatureValue,95.89129966521742,79.99380434706877,79.46114810442846,85.06913449019613
getSkewnessFeatureValue,3.2449586319173958,0.5468174638964495,1.8581202676824309,2.1593773985933984
getStandardDeviationFeatureValue,17.388285290573542,14.052412398777431,15.735573107140073,16.348006099854352
getTotalEnergyFeatureValue,242679645.25293815,309890325.7500483,193575723.33961266,309388963.782372
getUniformityFeatureValue,0.34541645326216197,0.30491162150381645,0.3218181141897547,0.3466225685391282
getVarianceFeatureValue,815.8784879079442,627.0832295259817,752.588660332613,795.5106972236001
